distr1.bird-bird_wing_color-orange	distr1.bird-bird_wing_color-purple	distr1.bird-bird_wing_color-white	distr1.bird-body_color-orange	distr1.bird-body_color-purple	distr1.bird-body_color-white	distr1.bird-crest_present	distr1.bird-crest_tail_color-orange	distr1.bird-crest_tail_color-purple	distr1.bird-crest_tail_color-white	distr1.bird-tail_present	distr1.bug-antennae_color-orange	distr1.bug-antennae_color-purple	distr1.bug-antennae_color-white	distr1.bug-antennae_present	distr1.bug-body_color-orange	distr1.bug-body_color-purple	distr1.bug-body_color-white	distr1.bug-bug_wings_color-orange	distr1.bug-bug_wings_color-purple	distr1.bug-bug_wings_color-white	distr1.bug-head_color-orange	distr1.bug-head_color-purple	distr1.bug-head_color-white	distr1.bug-legs_color-orange	distr1.bug-legs_color-purple	distr1.bug-legs_color-white	distr1.bug-wings_present	distr1.fish-body_color-orange	distr1.fish-body_color-purple	distr1.fish-body_color-white	distr1.fish-fangs_present	distr1.fish-fins_color-orange	distr1.fish-fins_color-purple	distr1.fish-fins_color-white	distr1.fish-stripes_color-orange	distr1.fish-stripes_color-purple	distr1.fish-stripes_color-white	distr1.fish-stripes_present	distr1.fish-whiskers_present	distr1.flower-center_color-orange	distr1.flower-center_color-purple	distr1.flower-center_color-white	distr1.flower-frill_color-orange	distr1.flower-frill_color-purple	distr1.flower-frill_color-white	distr1.flower-frill_present	distr1.flower-petals_color-orange	distr1.flower-petals_color-purple	distr1.flower-petals_color-white	distr1.flower-spots_color-orange	distr1.flower-spots_color-purple	distr1.flower-spots_color-white	distr1.flower-spots_present	distr1.flower-stem_color-orange	distr1.flower-stem_color-purple	distr1.flower-stem_color-white	distr1.flower-thorns_present	distr1.tree-berries_color-blue	distr1.tree-berries_color-green	distr1.tree-berries_color-orange	distr1.tree-berries_color-purple	distr1.tree-berries_color-red	distr1.tree-berries_color-white	distr1.tree-berries_present	distr1.tree-leaves_color-blue	distr1.tree-leaves_color-green	distr1.tree-leaves_color-orange	distr1.tree-leaves_color-purple	distr1.tree-leaves_color-red	distr1.tree-leaves_color-white	distr1.tree-leaves_present	distr1.tree-trunk_color-blue	distr1.tree-trunk_color-green	distr1.tree-trunk_color-orange	distr1.tree-trunk_color-purple	distr1.tree-trunk_color-red	distr1.tree-trunk_color-white	distr2.bird-bird_wing_color-orange	distr2.bird-bird_wing_color-purple	distr2.bird-bird_wing_color-white	distr2.bird-body_color-orange	distr2.bird-body_color-purple	distr2.bird-body_color-white	distr2.bird-crest_present	distr2.bird-crest_tail_color-orange	distr2.bird-crest_tail_color-purple	distr2.bird-crest_tail_color-white	distr2.bird-tail_present	distr2.bug-antennae_color-orange	distr2.bug-antennae_color-purple	distr2.bug-antennae_color-white	distr2.bug-antennae_present	distr2.bug-body_color-orange	distr2.bug-body_color-purple	distr2.bug-body_color-white	distr2.bug-bug_wings_color-orange	distr2.bug-bug_wings_color-purple	distr2.bug-bug_wings_color-white	distr2.bug-head_color-orange	distr2.bug-head_color-purple	distr2.bug-head_color-white	distr2.bug-legs_color-orange	distr2.bug-legs_color-purple	distr2.bug-legs_color-white	distr2.bug-wings_present	distr2.fish-body_color-orange	distr2.fish-body_color-purple	distr2.fish-body_color-white	distr2.fish-fangs_present	distr2.fish-fins_color-orange	distr2.fish-fins_color-purple	distr2.fish-fins_color-white	distr2.fish-stripes_color-orange	distr2.fish-stripes_color-purple	distr2.fish-stripes_color-white	distr2.fish-stripes_present	distr2.fish-whiskers_present	distr2.flower-center_color-orange	distr2.flower-center_color-purple	distr2.flower-center_color-white	distr2.flower-frill_color-orange	distr2.flower-frill_color-purple	distr2.flower-frill_color-white	distr2.flower-frill_present	distr2.flower-petals_color-orange	distr2.flower-petals_color-purple	distr2.flower-petals_color-white	distr2.flower-spots_color-orange	distr2.flower-spots_color-purple	distr2.flower-spots_color-white	distr2.flower-spots_present	distr2.flower-stem_color-orange	distr2.flower-stem_color-purple	distr2.flower-stem_color-white	distr2.flower-thorns_present	distr2.tree-berries_color-blue	distr2.tree-berries_color-green	distr2.tree-berries_color-orange	distr2.tree-berries_color-purple	distr2.tree-berries_color-red	distr2.tree-berries_color-white	distr2.tree-berries_present	distr2.tree-leaves_color-blue	distr2.tree-leaves_color-green	distr2.tree-leaves_color-orange	distr2.tree-leaves_color-purple	distr2.tree-leaves_color-red	distr2.tree-leaves_color-white	distr2.tree-leaves_present	distr2.tree-trunk_color-blue	distr2.tree-trunk_color-green	distr2.tree-trunk_color-orange	distr2.tree-trunk_color-purple	distr2.tree-trunk_color-red	distr2.tree-trunk_color-white	target.bird-bird_wing_color-orange	target.bird-bird_wing_color-purple	target.bird-bird_wing_color-white	target.bird-body_color-orange	target.bird-body_color-purple	target.bird-body_color-white	target.bird-crest_present	target.bird-crest_tail_color-orange	target.bird-crest_tail_color-purple	target.bird-crest_tail_color-white	target.bird-tail_present	target.bug-antennae_color-orange	target.bug-antennae_color-purple	target.bug-antennae_color-white	target.bug-antennae_present	target.bug-body_color-orange	target.bug-body_color-purple	target.bug-body_color-white	target.bug-bug_wings_color-orange	target.bug-bug_wings_color-purple	target.bug-bug_wings_color-white	target.bug-head_color-orange	target.bug-head_color-purple	target.bug-head_color-white	target.bug-legs_color-orange	target.bug-legs_color-purple	target.bug-legs_color-white	target.bug-wings_present	target.fish-body_color-orange	target.fish-body_color-purple	target.fish-body_color-white	target.fish-fangs_present	target.fish-fins_color-orange	target.fish-fins_color-purple	target.fish-fins_color-white	target.fish-stripes_color-orange	target.fish-stripes_color-purple	target.fish-stripes_color-white	target.fish-stripes_present	target.fish-whiskers_present	target.flower-center_color-orange	target.flower-center_color-purple	target.flower-center_color-white	target.flower-frill_color-orange	target.flower-frill_color-purple	target.flower-frill_color-white	target.flower-frill_present	target.flower-petals_color-orange	target.flower-petals_color-purple	target.flower-petals_color-white	target.flower-spots_color-orange	target.flower-spots_color-purple	target.flower-spots_color-white	target.flower-spots_present	target.flower-stem_color-orange	target.flower-stem_color-purple	target.flower-stem_color-white	target.flower-thorns_present	target.tree-berries_color-blue	target.tree-berries_color-green	target.tree-berries_color-orange	target.tree-berries_color-purple	target.tree-berries_color-red	target.tree-berries_color-white	target.tree-berries_present	target.tree-leaves_color-blue	target.tree-leaves_color-green	target.tree-leaves_color-orange	target.tree-leaves_color-purple	target.tree-leaves_color-red	target.tree-leaves_color-white	target.tree-leaves_present	target.tree-trunk_color-blue	target.tree-trunk_color-green	target.tree-trunk_color-orange	target.tree-trunk_color-purple	target.tree-trunk_color-red	target.tree-trunk_color-white	gameid	trialNum	example_id
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	14	5165964612592270886
0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	30	-3351810936319108052
0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	34	6325194465897959832
0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9441-22ec8fcb-916d-4bd9-bfe3-a078b5a39abe	35	2385416318375026456
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	19	858822362083531694
0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	24	35384575691099564
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	26	6188055747484273656
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	31	640843766244845529
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8168-6840254b-4d6c-468d-b005-9d8bb8c3b879	40	8021196338977464078
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	0	8443755304946519962
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	6	-7268917619467568762
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	13	-1464108781606827946
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	14	-3013649661471050889
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	20	-5626230542553620136
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	26	-270737560710891471
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	32	4616140337906892731
0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	36	-2706086849092785830
1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0125-d9f8cebc-61ad-45c6-abf2-a74bf7258b09	39	-604845372816149844
0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	2	2136378932912963556
1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0134-94ec2fd6-e1d8-439a-8440-b14b6647d7b0	9	8155048603585348894
